Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Псевдонимы;Black Hand;Чёрная Рука;Суперзлодей, воплощение смерти и лидер Корпуса Чёрных Фонарей;Уильям Хэнд;Скорее всего, псевдоним отсылает к схеме вымогательства, популярной на востоке США в начале XX века и плотно вошедшей в массовую культуру гангстерских и криминальных историй. В целом «Чёрная рука смерти» является довольно распространённым образом в испаноязычных и италоязычных странах. [Прим. D.Crane]
Псевдонимы;Black Lantern;Чёрный Фонарь;Псевдоним нескольких персонажей Вселенной DC, каждый из которых состоял в Корпусе Чёрных Фонарей.;Корпус Чёрных Фонарей, Уильям Хэнд;
Псевдонимы;Black Lightning;Чёрная Молния;Супергерой, способный генерировать и управлять молнией.;Джефферсон Пирс;
Псевдонимы;Black Manta;Чёрная Манта;Злодей в высокотехнологичном костюме для подводного боя, враг Аквамена.;Дэвид Хайд;
Псевдонимы;Black Mask;Чёрная Маска;Криминальный авторитет из Готэма, носящий маску из чёрного дерева, вырезанную из материнского гроба и вплавленную в лицо.;Роман Сионис;
Псевдонимы;Black Orchid;Чёрная Орхидея;Мстительница, обладающая сверхспособностями благодаря связи с Зеленью.;Сьюзен Линден, Флора Блэк, Сьюзи, Альба Гарсия;
Псевдонимы;Black Pirate;Чёрный Пират;Пират, состоявший на службе у Бринакской короны, который жил по строгому моральному кодексу.;Джон Валор, Джек Валор;
Псевдонимы;Black Queen;Королева Черноты;Титул Эбби Аркейн, который она получила став аватаром Гнили.;Эбби Аркейн;Было выбрано именно название «Королева Черноты» (как синоним «Королевы Гнили»), чтобы отделить персонажа от агентов Шахмат, среди которых есть «Чёрная Королева», имя которой, в свою очередь, отсылает к шахматной фигуре. [Прим. D.Crane]
Псевдонимы;Black Racer;Чёрный Гонщик;Олицетворение смерти для Новых Богов.;Вилли Уокер;
Псевдонимы;Black X (Black Ace);Чёрный Икс (Чёрный Туз);Тайный агент, срывавший замыслы террористов и тиранов до, во время и после Второй мировой войны.;Ричард Спенсер;
Псевдонимы;Blackfire;Блэкфайр;Тамаранская суперзлодейка, заклятый враг команды Юных Титанов.;Команд'р;
Псевдонимы;Blackguard;Паскуда;Суперзлодей, обладавший суперсилой и способностью создавать энергетические конструкции благодаря специальному костюму.;Ричард Херц;
Псевдонимы;Blackhawk;Чёрный Ястреб;Прозвище лидера Чёрных Ястребов.;Янош Прохаска, Эндрю Линкольн;
